relationship_id,idea_id,security_id,relationship_type,direction,mechanism,sensitivity,confidence,catalyst,invalidation,status,research_page,last_reviewed_at,next_review_at,created_at,updated_at
relationship_510158d3d515d91d5c14,idea_nearshoring_friendshoring_manufacturing,security_2c779e81c27b78c556bb,beneficiary,positive,"Nearshoring and friendshoring can increase demand for locally compliant flat steel; Ternium's Pesquería downstream lines and DRI-EAF shop can convert that demand into Mexican shipments, utilization, revenue, margins, and ADS-holder earnings, subject to commissioning, customer qualification, trade rules, steel pricing, cash conversion, and non-Mexican exposures.",medium,medium,"Downstream lines achieve disclosed utilization and customer qualification, the DRI-EAF shop commissions on the revised early-2027 schedule without material cost escalation, USMCA review outcomes preserve workable regional rules, Mexican shipments and margins rise, and operating cash flow covers remaining capex while attributable earnings improve.","USMCA or tariff changes fragment regional supply chains; customers do not qualify or use Pesquería output; startup slips again; infrastructure constraints impede utilization; imports or weak demand depress steel pricing; or working capital, capex, Usiminas commitments, currencies, minority interests, and non-Mexican operations absorb the regional benefit.",accepted,data/wiki/relationships/relationship_510158d3d515d91d5c14.md,2026-07-28T02:02:53Z,2026-08-07T12:00:00Z,2026-07-28T02:04:02Z,2026-07-28T02:04:02Z
relationship_670ed88c8e4616316a19,idea_critical_minerals_lithium,security_4627aea1bf7d8943d3d8,beneficiary,positive,"EV and stationary-storage demand plus constrained supply can support lithium-concentrate prices and volumes, increasing Sigma Lithium's revenue, mine utilization, margins, cash generation, and expansion option value; shareholder benefit depends on production stability, receivable collection, liquidity, debt and offtake obligations, controls, environmental status, Phase 2 funding, and commodity cyclicality.",high,medium,"Lithium-concentrate demand and realized pricing remain durable, production and recovery stay stable, receivables convert to cash, operating cash flow turns positive, debt and offtake obligations remain serviceable, Phase 2 obtains committed non-dilutive funding, and controls and environmental matters are remediated.","Supply restarts, new projects, recycling, sodium-ion adoption, material efficiency, or weaker demand restores surplus; realized pricing or volumes fall; output or recovery remains unstable; receivables do not convert; debt, prepayment, supplier, or environmental constraints impair operations; Phase 2 requires deeply dilutive funding; or lithium ceases to provide positive operating leverage.",accepted,data/wiki/relationships/relationship_670ed88c8e4616316a19.md,2026-07-28T03:32:12Z,2026-08-15T12:00:00Z,2026-07-28T03:33:13Z,2026-07-28T03:33:13Z
relationship_7e9fd9486e494dd05bb5,idea_sovereign_small_drone_supply_chains,security_cc4dcb8f002b61dffe00,beneficiary,positive,"Sovereign procurement preferences can redirect demand toward qualified European and allied small-UAS suppliers; Parrot can convert that demand through ANAFI UKR production and institutional sales into revenue, gross profit, and cash flow, subject to award value, customer concentration, component provenance, supply constraints, operating costs, working capital, and dilution-aware valuation.",high,medium,"The July 31 half-year release confirms sustained institutional micro-UAV growth, named or measurable order conversion, customer diversification, auditable allied-component content, stable or improving gross margin, and positive operating cash flow without heavier use of the shareholder facility; further trusted-procurement qualifications broaden demand access.",Institutional awards remain immaterial or concentrated; trusted-source qualifications or component provenance cannot be substantiated; Chinese dependencies remain critical; component constraints delay delivery; rapid redesign and price compression erode margins; inventory and receivables consume cash; or micro-UAV growth fails to produce durable operating profit and cash flow.,accepted,data/wiki/relationships/relationship_7e9fd9486e494dd05bb5.md,2026-07-28T02:34:11Z,2026-08-01T12:00:00Z,2026-07-28T02:35:04Z,2026-07-28T02:35:04Z
relationship_871e21ff73620ab8eb14,idea_critical_minerals_lithium,security_66cdcf90aac0d83e76f3,beneficiary,positive,"Lithium demand and tighter supply can raise Albemarle's realized Energy Storage prices, volumes, margins, operating cash flow, and resource option value; shareholder benefit depends on contract lags, costs, inventory timing, capex, taxes, leverage, supply response, and dilution.",high,medium,"EV and storage demand remains durable, realized prices and volumes stay higher after contract lags, Energy Storage margins and operating cash flow remain positive without favorable inventory timing, capex stays disciplined, leverage falls through operations, and Q2 evidence confirms the recovery.","Supply restarts, new projects, recycling, sodium-ion adoption, material efficiency, or weaker demand restores surplus; realized prices fail to follow benchmarks; volumes or margins weaken; working capital consumes cash; capex, taxes, debt, or dilution absorb operating gains; or Energy Storage economics decouple from the lithium cycle.",accepted,data/wiki/relationships/relationship_871e21ff73620ab8eb14.md,2026-07-28T01:48:44Z,2026-08-06T12:00:00Z,2026-07-28T01:49:58Z,2026-07-28T01:49:58Z
relationship_87b95f713a902d531f2f,idea_ai_infrastructure_power,security_18a3ab0ee6086ee85d0f,beneficiary,positive,"Higher-density compute requires switchgear, power distribution, power quality, thermal management, and related electrical infrastructure; Eaton can convert data-centre and grid demand through qualified Electrical Americas and Electrical Global products into orders, backlog, revenue, segment profit, and cash flow, subject to customer concentration, project delays, capacity execution, acquisitions, leverage, working capital, order normalization, and valuation.",high,medium,"Q2 and later primary evidence shows broad data-centre and utility orders, electrical backlog converting into revenue, durable margins and operating cash flow, capacity additions earning acceptable returns, controlled customer concentration, and acquisition integration reducing leverage without higher working-capital intensity.",Data-centre projects are cancelled or delayed; efficiency or architecture changes reduce Eaton content; customers internalize or dual-source equipment; capacity additions cause price or utilization deterioration; electrical orders fail to become revenue and cash; acquisitions miss returns; leverage constrains capital allocation; or concentration drives sustained margin compression.,accepted,data/wiki/relationships/relationship_87b95f713a902d531f2f.md,2026-07-28T14:49:41Z,2026-08-04T12:00:00Z,2026-07-28T02:56:22Z,2026-07-28T14:50:34Z
relationship_8f324efeca539dfb6189,idea_ai_infrastructure_power,security_0b67d6c8e3fd3366a257,beneficiary,positive,"Higher-density data centers and broader electrification require medium-voltage switchgear, packaged electrical rooms, controls and protection between grid or on-site generation and loads; Powell can convert that demand into orders, backlog, revenue, margin and cash, subject to project and customer concentration, cancellations, fixed-price execution, capacity, working capital and valuation.",high,medium,"Data-center awards broaden across customers and architectures, Commercial & Other Industrial backlog converts into revenue and cash at durable high-20s gross margins, and utility, LNG and industrial demand keeps total book-to-bill above 1x without capacity or working-capital strain.","The data-center order above USD 400 million is cancelled, materially delayed or repriced; orders fail to broaden; power architecture or customer insourcing reduces Powell content; backlog fails to convert into cash; or capacity constraints cause sustained margin loss, damages or working-capital stress.",accepted,data/wiki/relationships/relationship_8f324efeca539dfb6189.md,2026-09-05T15:13:00Z,2026-10-05T15:13:00Z,2026-09-05T15:17:26Z,2026-09-05T15:17:26Z
relationship_9773364a04293a4febaf,idea_critical_minerals_lithium,security_9d4049ed6669a52815d6,beneficiary,positive,"EV and stationary-storage demand plus constrained supply can raise SQM's realized lithium prices, volumes, gross profit, earnings, cash generation, and resource option value; ADS-holder benefit depends on Chilean partnership attribution and state take, contract pricing, permits, conversion ramp, capex, minority interests, debt, and commodity cyclicality.",high,medium,"EV and stationary-storage demand remains durable, realized lithium prices and volumes stay higher, earnings convert to cash after Chilean state payments, tax, and capex, Kwinana approaches nameplate, Salar Futuro permitting advances, debt remains controlled, and Q2 primary evidence confirms the recovery.","Supply restarts, new projects, recycling, sodium-ion adoption, material efficiency, or weaker demand restores surplus; realized prices or volumes reverse; Chilean partnership economics or state take worsens; Salar Futuro or Australian conversion slips; capex, tax, debt, or minority interests absorb operating gains; or lithium ceases to be financially material to SQM.",accepted,data/wiki/relationships/relationship_9773364a04293a4febaf.md,2026-07-28T03:12:53Z,2026-08-31T12:00:00Z,2026-07-28T03:13:57Z,2026-07-28T03:13:57Z
relationship_9befaccc50d8cd94372b,idea_critical_minerals_copper,security_6ad1af8d10d6276a0221,beneficiary,positive,"Structural copper scarcity can raise Southern Copper's realized copper revenue, mine margins, operating cash flow, reserve value, and returns on funded growth; shareholder transmission depends on production, grades, recoveries, by-product credits, costs, taxes, project spending, jurisdictional terms, and capital allocation.",high,medium,"Copper pricing remains supportive while grades and recoveries improve, production returns to growth, cash costs remain competitive without exceptional by-product credits, operating cash flow funds capital investment and prudent distributions, and Tía María and other projects advance without undermining returns.","New supply, recycling, substitution, or weaker demand removes scarcity; grades or recoveries remain weak; production fails to recover; costs, taxes, royalties, water, labor, or jurisdictional terms worsen; projects are delayed or overrun; by-product credits normalize sharply; or attributable free cash flow fails to rise with realized copper prices.",accepted,data/wiki/relationships/relationship_9befaccc50d8cd94372b.md,2026-07-28T03:42:45Z,2026-08-15T00:00:00Z,2026-07-28T03:44:08Z,2026-07-28T03:44:08Z
relationship_9e7b4700174908755cbc,idea_precision_biology_healthcare_automation,security_ed7d5b616a196969c815,beneficiary,positive,"Recursion applies computational models, biological data, and automated experimentation to identify and advance drug candidates; repeatable gains in target selection, cycle time, or clinical translation can create pipeline and partner value, but common-share benefit depends on trial success, partner economics, operating burn, capital needs, and dilution.",high,low,"Blinded clinical data support efficacy and safety, FDA engagement produces clear development paths, REC-4881 and REC-1245 advance, partner milestones become repeatable, measured discovery-cycle or probability-of-success improvements are disclosed, and operating burn declines without financing that overwhelms per-share value.",Programs fail safety or efficacy tests; development time or cost does not improve; candidates are repeatedly deprioritized; partnership revenue remains immaterial; proprietary-data commitments consume capital without measurable output; or financing and dilution absorb the platform value attributable to existing common shares.,accepted,data/wiki/relationships/relationship_9e7b4700174908755cbc.md,2026-07-28T02:30:13Z,2026-08-10T12:00:00Z,2026-07-28T02:30:33Z,2026-07-28T02:30:33Z
relationship_a1d0c5e7b2894f6310aa,idea_defensive_consumer_cash_return,security_e19c7fe27fbcc4cd923d,beneficiary,positive,"Recurring grocery demand, regional scale and online density can preserve Ahold Delhaize operating cash flow through consumer and input-cost cycles; disciplined dividends and repurchases can transmit that resilience to shareholders when margins, capital spending, leases and leverage remain controlled.",medium,medium,"Volume stabilizes, online margins improve, full-year margin and free-cash-flow guidance is delivered, lease-adjusted leverage remains controlled, and dividends or repurchases remain covered after necessary capital spending.",Volume and margin deteriorate persistently; price/mix damages demand; cash flow depends on underinvestment or working-capital timing; online economics remain structurally weak; lease-adjusted leverage rises; or distributions cease to be covered by durable free cash flow.,accepted,data/wiki/relationships/relationship_a1d0c5e7b2894f6310aa.md,2026-08-28T19:51:00Z,2026-09-30T12:00:00Z,2026-08-28T19:53:03Z,2026-08-28T19:53:03Z
relationship_ad2f37b49980dbc73a08,idea_critical_minerals_lithium,security_fb87fac302a5446a1ced,beneficiary,positive,"Durable EV and stationary-storage lithium demand plus delayed supply can improve expected lithium pricing, Thacker Pass operating economics, construction funding, offtake value, and the project option value attributable to Lithium Americas common shares; transmission depends on 62% ownership, remaining capex, DOE and GM terms, warrants, dilution, schedule, commissioning, and product qualification.",high,medium,"EV and storage demand remains durable, lithium-price and offtake economics support Thacker Pass, construction remains within disclosed cost and schedule, funding conditions are satisfied, dilution stays bounded, late-2027 mechanical completion is achieved, and qualified battery-grade production advances toward the planned 2028 ramp.","Supply restarts, new projects, recycling, sodium-ion adoption, material efficiency, or weaker demand restores durable surplus; lithium prices cease to support Thacker Pass economics; capex rises materially; funding conditions fail; construction, commissioning, or qualification slips; offtake economics disappoint; or dilution and encumbering claims transfer project value away from existing common shareholders.",accepted,data/wiki/relationships/relationship_ad2f37b49980dbc73a08.md,2026-07-28T01:58:37Z,2026-08-15T12:00:00Z,2026-07-28T01:59:03Z,2026-07-28T01:59:03Z
relationship_afac7205cd7e09800edf,idea_humanoid_robotics_embodied_ai_components,security_c120e9f26ebb6159adf9,beneficiary,positive,"Growth in industrial robotics and embodied AI can increase demand for robot controllers, drives, motors, machine automation, engineering software, and lifecycle service that ABB historically could convert into revenue, margin, and cash flow; however, ABB has agreed to divest Robotics, expects the net proceeds in the second half of 2026, and does not disclose material recurring RobotStudio or humanoid-attributable economics, so the common shares do not provide a durable direct transmission channel for this idea.",low,low,"Reconsider only if the Robotics divestment does not close, ABB retains material participation in Robotics economics, or retained automation and actuator businesses disclose material embodied-AI design wins, recurring software or service revenue, margins, and cash flow attributable to scaled deployments.","The Robotics divestment closes without material retained economics, humanoid deployments remain pilots, retained ABB businesses do not disclose material embodied-AI revenue or cash flow, fixed automation or competing suppliers capture the demand, or post-sale capital is redeployed into businesses whose economics are not driven by this idea.",rejected,data/wiki/relationships/relationship_afac7205cd7e09800edf.md,2026-07-28T03:25:44Z,2026-08-27T12:00:00Z,2026-07-28T03:26:50Z,2026-07-28T03:26:50Z
relationship_ai_compute_nvda,idea_ai_compute_networking_hyperscaler_monetization,security_33d9c44facc75c726c7d,beneficiary,positive,"AI training and inference demand converts directly into NVIDIA accelerator, networking, interconnect, system and software revenue; platform breadth and rapid product cadence can retain economics as clusters scale, while hyperscaler capex concentration, export controls, custom silicon, supply commitments and valuation constrain shareholder returns.",high,high,Q2 guidance converts with durable mid-70% gross margins; Rubin ships broadly on schedule; networking and non-hyperscale AI demand continue to scale; or recurring software and enterprise adoption broaden cash-flow sources.,Customer AI returns fail to support capex; Data Center growth or margins deteriorate materially; Rubin is delayed or loses adoption; custom silicon or competitors erode platform economics; export controls expand; or supply commitments create material provisions and weak cash conversion.,accepted,data/wiki/relationships/relationship_ai_compute_nvda.md,2026-08-07T09:15:09Z,2026-10-31T12:00:00Z,2026-08-07T09:16:01Z,2026-08-07T09:16:01Z
relationship_ai_drug_nvda,idea_ai_native_drug_discovery,security_33d9c44facc75c726c7d,beneficiary,positive,"AI-native drug discovery can create demand for NVIDIA accelerated compute, software, data infrastructure and automated-lab integration, and the Lilly co-innovation lab establishes a concrete channel; however, the disclosed sector commitment is not NVIDIA revenue and is immaterial relative to NVIDIA's diversified Data Center economics without broader repeat adoption.",low,low,"Multiple pharmaceutical customers disclose repeat material NVIDIA platform purchases, life-sciences revenue or software economics become separately measurable, or clinical and lab productivity creates durable sector demand material to NVIDIA cash flow.","Pharma internalizes or uses competing infrastructure; AI workflows fail to improve discovery economics; the Lilly lab does not create repeat purchases; sector demand remains immaterial; or NVIDIA continues to disclose no measurable life-sciences revenue, margin or cash flow.",rejected,data/wiki/relationships/relationship_ai_drug_nvda.md,2026-08-07T09:19:27Z,2026-11-15T12:00:00Z,2026-08-07T09:20:09Z,2026-08-07T09:20:09Z
relationship_b2e1d6f8c3905a7421bb,idea_defensive_consumer_cash_return,security_98a1943771da875efed5,beneficiary,positive,"Branded frozen-food demand, price/mix, restructuring and working-capital discipline can stabilize Nomad Foods margins and free cash flow and preserve shareholder distributions if volume recovers and leverage declines.",high,medium,"Volume stabilizes, restructuring produces the stated margin inflection, free-cash-flow conversion improves, leverage declines and the dividend remains covered after brand and capacity investment.",Volume contraction persists; brand pricing loses elasticity; restructuring fails to improve margins; working capital or cash conversion weakens; leverage rises; or debt service and distributions absorb operating value.,accepted,data/wiki/relationships/relationship_b2e1d6f8c3905a7421bb.md,2026-08-28T19:56:50Z,2026-09-30T12:00:00Z,2026-08-28T19:57:45Z,2026-08-28T19:57:45Z
relationship_c3f2e709d4a16b8532cc,idea_defensive_consumer_cash_return,security_f34181f3df32080a91d1,beneficiary,positive,"Asset-light franchise fees, supply-chain economics and unit growth can convert recurring pizza demand into operating cash flow and shareholder returns if franchisee economics, comparable sales, debt service and reinvestment remain healthy.",medium,medium,"Comparable sales reaccelerate, unit growth remains disciplined, franchisee cash returns improve, operating cash conversion covers debt service and reinvestment, and leverage declines without impairing distributions.","Comparable sales and unit economics weaken structurally; franchisees retrench; competition, food or labor costs impair store returns; leverage rises; or distributions exceed durable free cash flow after reinvestment.",accepted,data/wiki/relationships/relationship_c3f2e709d4a16b8532cc.md,2026-08-28T19:58:32Z,2026-09-30T12:00:00Z,2026-08-28T19:59:09Z,2026-08-28T19:59:09Z
relationship_c829dae21648bb133cc7,idea_ai_native_drug_discovery,security_ed7d5b616a196969c815,beneficiary,positive,"AI models trained on Recursion's biological and chemical data, coupled with automated wet-lab experiments, can shorten candidate-selection loops and generate proprietary drug programs; Recursion can capture value through owned-pipeline economics and partner milestones only if candidates survive clinical and regulatory validation and the resulting value exceeds operating burn, data commitments, financing, and dilution.",high,low,"Blinded REC-4881 efficacy and safety data, further REC-1245 dose-escalation evidence, clear FDA development paths, repeatable partner milestones, disclosed improvements in discovery cycle time or success rates, and operating burn below guidance without financing that overwhelms per-share value.","Platform-derived programs fail safety or efficacy tests; discovery timelines, costs, or clinical success do not improve versus relevant baselines; candidates are repeatedly deprioritized; partnership economics remain immaterial; pharma internalizes the workflow; data obligations consume capital without measurable output; or financing and dilution absorb the platform's enterprise value.",accepted,data/wiki/relationships/relationship_c829dae21648bb133cc7.md,2026-07-28T03:07:09Z,2026-08-10T12:00:00Z,2026-07-28T03:08:09Z,2026-07-28T03:08:09Z
relationship_cbdd07edda84994325d6,idea_ai_infrastructure_power,security_4b61970aa8f574446819,beneficiary,positive,"Rising data-centre electricity demand and grid constraints increase demand for generation equipment, services, and electrification systems; GE Vernova can convert that demand through Power and Electrification into orders, backlog, revenue, margins, and cash flow, subject to project schedules, customer concentration, backlog quality, working-capital normalization, Wind execution, capacity investment, acquisition integration, and valuation.",high,medium,"Later primary evidence shows broad Power and Electrification orders, data-centre and utility projects proceeding on schedule, backlog converting into revenue, durable service mix and margins, normalized free cash flow, acceptable returns on capacity investment, and controlled customer concentration and cancellations.","Data-centre or utility projects are cancelled or delayed; efficiency or architecture changes reduce power-equipment demand; competing supply or internal generation weakens GE Vernova content; capacity expansion causes price or utilization deterioration; orders fail to become revenue and normalized cash; Wind, warranties, tariffs, acquisitions, or capacity projects absorb gains; customer concentration rises; or backlog materially corrects.",accepted,data/wiki/relationships/relationship_cbdd07edda84994325d6.md,2026-07-28T03:36:48Z,2026-08-26T22:05:09Z,2026-07-28T03:37:46Z,2026-07-28T03:37:46Z
relationship_d403f81ae5b27c9643dd,idea_mobility_platform_autonomy,security_e4822686f60a96824b6e,beneficiary,positive,"Uber can monetize demand aggregation, dispatch, payments, safety, advertising and utilization across human-driven and autonomous supply if riders and fleet partners value marketplace distribution more than vertical integration.",high,medium,Trip and booking growth converts to sustained free cash flow; autonomous-fleet partners use Uber distribution at attractive unit economics; insurance and incentives remain controlled; and platform take rate and engagement remain durable.,"Autonomous fleets bypass Uber or impose uneconomic terms; trip growth stops producing incremental cash; insurance, incentives, regulation, litigation, stock compensation or fleet investments consume the marketplace benefit; or network liquidity deteriorates.",accepted,data/wiki/relationships/relationship_d403f81ae5b27c9643dd.md,2026-08-28T20:00:02Z,2026-09-30T12:00:00Z,2026-08-28T20:00:37Z,2026-08-28T20:00:37Z
